COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
ARBENT,01014002,534,ARBENT,46.278167,1,5.669,0,1
BALAN,01027003,196,BALAN_AERO,45.833,1,5.106667,0,0
BANEINS,01028001,243,BANEINS,46.122,1,4.9045,0,1
VALSERHONE,01033002,350,BELLEGARDE,46.0865,1,5.814167,1,1
BELLEY,01034004,330,BELLEY,45.769333,1,5.688,0,1
BENONCES,01037001,944,BENONCES,45.862333,1,5.484167,0,1
BRIORD,01064001,281,VERIZIEU,45.777167,1,5.487167,0,0
CESSY,01071001,507,CESSY,46.310333,1,6.080333,0,1
JASSERON,01072001,260,CEYZERIAT_SAPC,46.204333,1,5.287667,0,1
CHATEAU-GAILLARD,01089001,250,AMBERIEU,45.9765,1,5.329333,0,1
DIVONNE-LES-BAINS,01143002,467,DIVONNE ZA,46.3415,1,6.139667,0,1
GIRON,01174001,1015,GIRON,46.23,1,5.7725,0,1
LABALME,01200002,596,LA BALME SUR CERDON_SAPC,46.09,1,5.482,0,0
MARLIEUX,01235001,280,MARLIEUX,46.0385,1,5.044333,0,1
MIJOUX,01247003,1002,MIJOUX,46.378833,1,6.019333,0,0
MONTAGNIEU,01255002,336,MONTAGNIEU,45.794333,1,5.469333,0,1
NANTUA,01269001,483,NANTUA,46.148167,1,5.607333,0,0
SAINT-JULIEN-SUR-REYSSOUZE,01367002,189,SAINT JULIEN SUR REYSSOUZE,46.403167,1,5.109833,0,0
SAINT-RAMBERT-EN-BUGEY,01384001,285,SAINT RAMBERT EN BUGEY,45.931667,1,5.426667,0,1
SAINT-RAMBERT-EN-BUGEY,01384003,296,ST RAMBERT CG01,45.950333,1,5.461,0,0
VALROMEY-SUR-SERAN,01414001,878,SUTRIEU,45.916167,1,5.624667,0,1
VIEU-D'IZENAVE,01441001,615,VIEU,46.088833,1,5.540833,0,1
LAON,02037002,78,AULNOIS-SS-LAON,49.595667,2,3.610333,0,1
BEAURIEUX,02058001,56,BEAURIEUX,49.390333,2,3.732667,0,0
BERZY-LE-SEC,02077001,146,BERZY-LE-SEC,49.322167,2,3.301667,0,0
BLESMES,02094001,222,BLESMES,49.009667,2,3.462667,0,1
BRAINE,02110002,61,BRAINE,49.351333,2,3.527,0,1
CHAUNY,02173002,83,CHAUNY,49.633833,2,3.197833,0,1
FONTAINE-LES-CLERCS,02320001,98,ST QUENTIN,49.818333,2,3.206,1,1
FONTAINE-LES-VERVINS,02321002,186,FONTAINE-LES-VV,49.837333,2,3.877833,0,1
GIZY,02346001,75,GIZY,49.599833,2,3.781,0,1
HIRSON,02381001,165,HIRSON,49.922,2,4.077167,0,0
MARTIGNY-COURPIERRE,02471001,95,MARTIGNY-COURPI,49.485667,2,3.693167,0,1
PARCY-ET-TIGNY,02585001,148,PARCY-ET-TIGNY,49.280167,2,3.331,0,0
NIZY-LE-COMTE,02705001,90,NIZY-LE-COMTE,49.566,2,4.0365,1,1
TERGNIER,02738001,59,TERGNIER,49.663833,2,3.320667,0,0
ARFEUILLES,03006003,450,ARFEUILLES,46.163667,3,3.7355,0,1
BOURBON-L'ARCHAMBAULT,03036002,270,BOURBON_SAPC,46.58,3,3.0495,0,1
CHAREIL-CINTRAT,03059001,286,CHAREIL-CINTRAT_SAPC,46.275833,3,3.225667,0,1
CHARMEIL,03060001,249,VICHY-CHARMEIL,46.166667,3,3.398667,1,1
CHARMES,03061001,330,CHARMES_SAPC,46.0635,3,3.233667,0,1
CHEVAGNES,03074001,228,CHEVAGNES,46.630667,3,3.549167,0,0
DIOU,03100001,220,DIOU,46.541667,3,3.706667,0,1
DURDAT-LAREQUILLE,03106002,500,DURDAT-LAREQUILLE,46.251667,3,2.695667,0,1
ECHASSIERES,03108001,650,ECHASSIERES_SAPC,46.191167,3,2.957667,0,1
LA FERTE-HAUTERIVE,03114001,226,FERTE-HAUTERIVE,46.375333,3,3.330167,0,0
LA GUILLERMIE,03125001,722,LA GUILLERMIE,45.984667,3,3.639833,0,0
ISLE-ET-BARDAIS,03130002,260,ISLE-ET-BARDAIS,46.663333,3,2.729667,0,1
LOUCHY-MONTFAND,03149002,280,LOUCHY-MONTFAND,46.303667,3,3.241833,0,1
LURCY-LEVIS,03155001,206,LURCY-LEVIS,46.730167,3,2.935167,0,1
LURCY-LEVIS,03155003,225,LURCY-LEVIS SA,46.718333,3,2.947667,1,1
MARIGNY,03162001,249,MARIGNY,46.581667,3,3.195833,0,0
LE MAYET-DE-MONTAGNE,03165001,542,MAYET-DE-MONTAG,46.076833,3,3.684,0,1
TOULON-SUR-ALLIER,03180001,275,MONTBEUGNY,46.536333,3,3.423167,1,1
DOMERAT,03185007,229,MONTLUCON,46.355167,3,2.574667,1,1
MONTMARAULT,03186001,466,MONTMARAULT,46.314833,3,2.9525,0,1
PARAY-SOUS-BRIAILLES,03204001,250,PARAY-SOUS-BRIAILLES,46.2835,3,3.337833,0,1
SAINT-DIDIER-EN-DONJON,03226001,293,SAINT DIDIER_SAPC,46.365333,3,3.850167,0,1
SAINT-LEON,03240001,378,ST-LEON,46.4025,3,3.685833,0,1
SAINT-NICOLAS-DES-BIEFS,03248001,1022,ST-NICOLAS,46.0515,3,3.805167,1,1
TORTEZAIS,03285001,256,TORTEZAIS_SAPC,46.451333,3,2.857,1,1
VICHY,03310001,255,VICHY-VILLE,46.117667,3,3.439,0,1
YZEURE,03321001,242,YZEURE,46.579167,3,3.352833,0,1
ALLOS,04006005,1400,ALLOS_SAPC,44.2425,4,6.625333,0,1
FAUCON-DE-BARCELONNETTE,04019001,1155,BARCELONNETTE,44.391167,4,6.670167,1,1
BARREME,04022001,743,BARREME,43.957167,4,6.372333,0,0
BAYONS,04023001,886,BAYONS,44.342667,4,6.178667,0,0
BEAUJEU,04024004,960,BEAUJEU ST PIERRE,44.209833,4,6.385167,0,0
CASTELLANE,04039001,729,CASTELLANE,43.849167,4,6.508,0,1
LE CASTELLET,04041001,473,LE CASTELLET,43.938333,4,5.9795,0,0
CHATEAU-ARNOUX-SAINT-AUBAN,04049001,458,ST AUBAN,44.062167,4,5.989667,1,1
DAUPHIN,04068001,427,DAUPHIN,43.909833,4,5.767167,1,1
DIGNE-LES-BAINS,04070009,554,DIGNE LES BAINS,44.07,4,6.186667,1,1
JAUSIERS,04096002,1240,JAUSIERS-ST ANNE,44.413667,4,6.725167,0,1
JAUSIERS,04096401,2550,RESTEFOND-NIVOSE,44.34,4,6.8,0,0
MEAILLES,04115001,1090,MEAILLES_SAPC,44.031167,4,6.6295,0,1
MONTCLAR,04126001,1197,MONTCLAR_SAPC,44.391833,4,6.333333,0,1
LA MOTTE-DU-CAIRE,04134002,665,LA MOTTE DU CAIRE,44.326667,4,6.0305,0,0
LA MURE-ARGENS,04136001,920,LA MURE-ARGENS,43.977,4,6.520167,0,1
