YYYYMM,NUM_POST,TYPE,VALEUR
193101,6088001,IN,164.6
193102,6088001,IN,160.9
193103,6088001,IN,120.9
193104,6088001,IN,256.6
193105,6088001,IN,289.7
193106,6088001,IN,303.0
193107,6088001,IN,357.0
193108,6088001,IN,315.2
193109,6088001,IN,266.4
193110,6088001,IN,193.1
193111,6088001,IN,104.6
193112,6088001,IN,177.2
193201,6088001,IN,178.2
193202,6088001,IN,180.9
193203,6088001,IN,152.4
193204,6088001,IN,210.5
193205,6088001,IN,267.2
193206,6088001,IN,291.2
193207,6088001,IN,303.8
193208,6088001,IN,323.4
193209,6088001,IN,236.4
193210,6088001,IN,201.1
193211,6088001,IN,130.5
193212,6088001,IN,85.0
193301,6088001,IN,131.4
193302,6088001,IN,108.4
193303,6088001,IN,195.9
193304,6088001,IN,234.2
193305,6088001,IN,293.1
193306,6088001,IN,249.8
193307,6088001,IN,380.1
193308,6088001,IN,325.6
193309,6088001,IN,200.2
193310,6088001,IN,182.1
193311,6088001,IN,112.5
193312,6088001,IN,110.9
193401,6088001,IN,155.9
193402,6088001,IN,143.7
193403,6088001,IN,151.3
193404,6088001,IN,137.2
193405,6088001,IN,260.0
193406,6088001,IN,320.9
193407,6088001,IN,339.3
193408,6088001,IN,302.4
193409,6088001,IN,276.1
193410,6088001,IN,213.6
193411,6088001,IN,146.7
193412,6088001,IN,96.8
193501,6088001,IN,175.4
193502,6088001,IN,146.9
193503,6088001,IN,218.0
193504,6088001,IN,246.4
193505,6088001,IN,211.9
193506,6088001,IN,340.1
193507,6088001,IN,354.6
193508,6088001,IN,285.7
193509,6088001,IN,289.5
193510,6088001,IN,168.7
193511,6088001,IN,109.4
193512,6088001,IN,116.2
193601,6088001,IN,95.7
193602,6088001,IN,121.6
193603,6088001,IN,161.0
193604,6088001,IN,182.1
193605,6088001,IN,273.0
193606,6088001,IN,338.1
193607,6088001,IN,355.4
193608,6088001,IN,354.1
193609,6088001,IN,208.9
193610,6088001,IN,221.5
193611,6088001,IN,162.0
193612,6088001,IN,124.0
193701,6088001,IN,123.5
193702,6088001,IN,146.7
193703,6088001,IN,157.7
193704,6088001,IN,270.2
193705,6088001,IN,297.4
193706,6088001,IN,303.1
193707,6088001,IN,365.7
193708,6088001,IN,340.6
193709,6088001,IN,219.9
193710,6088001,IN,139.9
193711,6088001,IN,151.8
193712,6088001,IN,121.6
193801,6088001,IN,170.2
193802,6088001,IN,172.2
193803,6088001,IN,209.7
193804,6088001,IN,215.7
193805,6088001,IN,234.0
193806,6088001,IN,337.8
193807,6088001,IN,389.4
193808,6088001,IN,317.4
193809,6088001,IN,198.2
193810,6088001,IN,196.0
193811,6088001,IN,160.8
193812,6088001,IN,119.8
193901,6088001,IN,120.5
193902,6088001,IN,162.0
193903,6088001,IN,213.9
193904,6088001,IN,216.1
193905,6088001,IN,201.6
193906,6088001,IN,293.8
193907,6088001,IN,394.1
193908,6088001,IN,285.0
193909,6088001,IN,207.0
193910,6088001,IN,182.1
193911,6088001,IN,165.7
193912,6088001,IN,107.2
194001,6088001,IN,154.2
194002,6088001,IN,139.3
194003,6088001,IN,214.2
194004,6088001,IN,223.1
194005,6088001,IN,270.2
194006,6088001,IN,271.6
194007,6088001,IN,328.3
194008,6088001,IN,336.9
194009,6088001,IN,196.9
194010,6088001,IN,146.9
194011,6088001,IN,167.0
194012,6088001,IN,148.2
194101,6088001,IN,98.7
194102,6088001,IN,121.4
194103,6088001,IN,212.0
194104,6088001,IN,231.8
194105,6088001,IN,263.3
194106,6088001,IN,273.8
194107,6088001,IN,331.0
194108,6088001,IN,290.8
194109,6088001,IN,264.4
194110,6088001,IN,193.6
194111,6088001,IN,106.8
194112,6088001,IN,195.3
194201,6088001,IN,158.6
194202,6088001,IN,132.2
194203,6088001,IN,184.6
194204,6088001,IN,206.2
194205,6088001,IN,293.0
194206,6088001,IN,331.7
194207,6088001,IN,345.9
194208,6088001,IN,302.8
194209,6088001,IN,234.0
194210,6088001,IN,214.5
194211,6088001,IN,169.7
194212,6088001,IN,136.5
194301,6088001,IN,134.6
194302,6088001,IN,200.8
194303,6088001,IN,166.7
194304,6088001,IN,263.3
194305,6088001,IN,278.5
194306,6088001,IN,343.2
194307,6088001,IN,353.7
194308,6088001,IN,353.2
194309,6088001,IN,216.1
194310,6088001,IN,161.5
194311,6088001,IN,151.5
194312,6088001,IN,125.2
194401,6088001,IN,215.4
194402,6088001,IN,141.8
194403,6088001,IN,245.6
194404,6088001,IN,230.5
194405,6088001,IN,310.9
194406,6088001,IN,309.2
194407,6088001,IN,328.4
194408,6088001,IN,295.1
194409,6088001,IN,188.0
194410,6088001,IN,134.4
194411,6088001,IN,130.7
194412,6088001,IN,151.9
194501,6088001,IN,153.0
194502,6088001,IN,184.7
194503,6088001,IN,235.8
194504,6088001,IN,249.9
194505,6088001,IN,322.2
194506,6088001,IN,362.7
194507,6088001,IN,384.4
194508,6088001,IN,312.7
194509,6088001,IN,276.1
194510,6088001,IN,215.4
194511,6088001,IN,184.2
194512,6088001,IN,146.1
194601,6088001,IN,136.2
194602,6088001,IN,215.3
194603,6088001,IN,142.5
194604,6088001,IN,211.9
194605,6088001,IN,205.6
194606,6088001,IN,268.3
194607,6088001,IN,365.2
194608,6088001,IN,379.7
194609,6088001,IN,301.1
194610,6088001,IN,221.7
194611,6088001,IN,137.0
194612,6088001,IN,117.5
194701,6088001,IN,101.0
194702,6088001,IN,123.4
194703,6088001,IN,153.8
194704,6088001,IN,301.4
194705,6088001,IN,294.0
194706,6088001,IN,353.4
194707,6088001,IN,371.8
194708,6088001,IN,301.6
194709,6088001,IN,254.0
194710,6088001,IN,138.0
194711,6088001,IN,170.0
194712,6088001,IN,133.3
194801,6088001,IN,113.9
194802,6088001,IN,171.4
194803,6088001,IN,262.8
194804,6088001,IN,220.7
194805,6088001,IN,248.4
194806,6088001,IN,341.7
194807,6088001,IN,350.4
194808,6088001,IN,336.1
194809,6088001,IN,245.7
194810,6088001,IN,185.1
194811,6088001,IN,215.5
194812,6088001,IN,167.2
194901,6088001,IN,200.1
194902,6088001,IN,212.5
194903,6088001,IN,222.6
194904,6088001,IN,279.6
194905,6088001,IN,232.4
194906,6088001,IN,302.6
194907,6088001,IN,372.4
194908,6088001,IN,319.7
194909,6088001,IN,285.3
194910,6088001,IN,219.1
194911,6088001,IN,164.2
194912,6088001,IN,151.5
195001,6088001,IN,134.1
195002,6088001,IN,151.2
195003,6088001,IN,235.3
195004,6088001,IN,241.8
195005,6088001,IN,299.9
195006,6088001,IN,350.3
195007,6088001,IN,375.1
195008,6088001,IN,291.4
195009,6088001,IN,271.2
195010,6088001,IN,213.5
195011,6088001,IN,173.6
195012,6088001,IN,105.6
195101,6088001,IN,142.6
195102,6088001,IN,153.8
