NUM_POST,latitude,longitude,type,commune,altitude,nom_usuel,num_dep
6088001,43.649,7.209,IN,NICE,2,NICE,6
6088001,43.649,7.209,RR,NICE,2,NICE,6
6088001,43.649,7.209,TN,NICE,2,NICE,6
6088001,43.649,7.209,TX,NICE,2,NICE,6
13054001,43.438,5.216,IN,MARIGNANE,9,MARIGNANE,13
13054001,43.438,5.216,RR,MARIGNANE,9,MARIGNANE,13
13054001,43.438,5.216,TN,MARIGNANE,9,MARIGNANE,13
13054001,43.438,5.216,TX,MARIGNANE,9,MARIGNANE,13
16089001,45.665,-0.316,IN,CHATEAUBERNARD,30,COGNAC,16
16089001,45.665,-0.316,RR,CHATEAUBERNARD,30,COGNAC,16
16089001,45.665,-0.316,TN,CHATEAUBERNARD,30,COGNAC,16
16089001,45.665,-0.316,TX,CHATEAUBERNARD,30,COGNAC,16
18033001,47.059,2.36,IN,BOURGES,161,BOURGES,18
18033001,47.059,2.36,RR,BOURGES,161,BOURGES,18
18033001,47.059,2.36,TN,BOURGES,161,BOURGES,18
18033001,47.059,2.36,TX,BOURGES,161,BOURGES,18
21473001,47.268,5.088,IN,OUGES,219,DIJON-LONGVIC,21
21473001,47.268,5.088,RR,OUGES,219,DIJON-LONGVIC,21
21473001,47.268,5.088,TN,OUGES,219,DIJON-LONGVIC,21
21473001,47.268,5.088,TX,OUGES,219,DIJON-LONGVIC,21
25056001,47.249,5.989,IN,BESANCON,307,BESANCON,25
25056001,47.249,5.989,RR,BESANCON,307,BESANCON,25
25056001,47.249,5.989,TN,BESANCON,307,BESANCON,25
25056001,47.249,5.989,TX,BESANCON,307,BESANCON,25
26198001,44.581,4.733,IN,MONTELIMAR,73,MONTELIMAR,26
26198001,44.581,4.733,RR,MONTELIMAR,73,MONTELIMAR,26
26198001,44.581,4.733,TN,MONTELIMAR,73,MONTELIMAR,26
26198001,44.581,4.733,TX,MONTELIMAR,73,MONTELIMAR,26
28070001,48.461,1.501,IN,CHAMPHOL,155,CHARTRES,28
28070001,48.461,1.501,RR,CHAMPHOL,155,CHARTRES,28
28070001,48.461,1.501,TN,CHAMPHOL,155,CHARTRES,28
28070001,48.461,1.501,TX,CHAMPHOL,155,CHARTRES,28
29075001,48.45,-4.383,IN,GUIPAVAS,92,BREST-GUIPAVAS,29
29075001,48.45,-4.383,RR,GUIPAVAS,92,BREST-GUIPAVAS,29
29075001,48.45,-4.383,TN,GUIPAVAS,92,BREST-GUIPAVAS,29
29075001,48.45,-4.383,TX,GUIPAVAS,92,BREST-GUIPAVAS,29
30189001,43.857,4.406,IN,NIMES,59,NIMES-COURBESSAC,30
30189001,43.857,4.406,RR,NIMES,59,NIMES-COURBESSAC,30
30189001,43.857,4.406,TN,NIMES,59,NIMES-COURBESSAC,30
30189001,43.857,4.406,TX,NIMES,59,NIMES-COURBESSAC,30
