num_poste,latitude(°),longitude(°),type
6088001,43.649,7.209,IN
13054001,43.438,5.216,IN
16089001,45.665,-0.316,IN
18033001,47.059,2.36,IN
21473001,47.268,5.088,IN
25056001,47.249,5.989,IN
26198001,44.581,4.733,IN
28070001,48.461,1.501,IN
29075001,48.45,-4.383,IN
30189001,43.857,4.406,IN
31069001,43.621,1.379,IN
33281001,44.831,-0.691,IN
34154001,43.576,3.965,IN
35281001,48.069,-1.734,IN
37179001,47.445,0.727,IN
43062001,45.075,3.764,IN
44020001,47.15,-1.609,IN
45055001,47.991,1.778,IN
51449002,49.21,4.155,IN
54526001,48.688,6.222,IN
60639001,49.447,2.127,IN
63113001,45.787,3.149,IN
64549001,43.385,-0.416,IN
66136001,42.737,2.873,IN
67124001,48.55,7.64,IN
69029001,45.721,4.949,IN
75114001,48.822,2.338,IN
1034004,45.769,5.688,RR
1072001,46.204,5.288,RR
1089001,45.977,5.329,RR
1143002,46.342,6.14,RR
1235001,46.039,5.044,RR
1247003,46.379,6.019,RR
1367002,46.403,5.11,RR
2058001,49.39,3.733,RR
2320001,49.818,3.206,RR
2346001,49.6,3.781,RR
2471001,49.486,3.693,RR
2585001,49.28,3.331,RR
2738001,49.664,3.321,RR
3059001,46.276,3.226,RR
3060001,46.167,3.399,RR
3074001,46.631,3.549,RR
3100001,46.542,3.707,RR
3125001,45.985,3.64,RR
3130002,46.663,2.73,RR
3162001,46.583,3.195,RR
3185007,46.355,2.575,RR
3204001,46.284,3.338,RR
3310001,46.118,3.439,RR
3321001,46.579,3.354,RR
4039001,43.849,6.508,RR
4041001,43.938,5.98,RR
4049001,44.062,5.99,RR
4070009,44.07,6.187,RR
4088001,43.963,5.785,RR
4096002,44.414,6.725,RR
4230001,43.84,6.001,RR
5004001,44.624,6.206,RR
5007001,44.781,6.737,RR
5013003,44.442,5.927,RR
5026001,44.671,6.776,RR
5027001,44.866,6.723,RR
5032002,44.72,6.259,RR
5038001,44.759,6.809,RR
5046001,44.571,6.509,RR
5063001,45.054,6.286,RR
5064001,44.81,6.195,RR
5070001,44.317,5.827,RR
5079001,44.972,6.514,RR
5090002,44.748,6.123,RR
5093001,45.019,6.622,RR
5098001,44.501,6.552,RR
5101001,44.871,6.487,RR
5110001,44.829,6.494,RR
5127001,44.469,6.269,RR
5132001,44.684,6.073,RR
5139002,44.695,5.941,RR
5139006,44.696,5.881,RR
5142001,44.782,6.024,RR
5157001,44.693,6.869,RR
5182001,44.827,6.146,RR
6004002,43.565,7.133,RR
6004004,43.58,7.091,RR
6016001,44.09,6.988,RR
6023004,43.94,7.514,RR
6029001,43.557,6.951,RR
6050002,43.792,7.049,RR
6071001,44.091,6.852,RR
6077006,43.929,7.363,RR
6086001,43.942,7.415,RR
6088001,43.649,7.209,RR
6088007,43.739,7.279,RR
6094002,44.1,6.931,RR
6118002,43.679,6.809,RR
6163001,44.087,7.595,RR
6163007,44.043,7.586,RR
7005001,44.54,4.583,RR
7010001,45.246,4.671,RR
7011002,44.719,4.352,RR
7019005,44.602,4.41,RR
7033001,44.34,4.299,RR
7064001,44.915,4.438,RR
7068001,45.016,4.671,RR
7075001,44.78,4.1,RR
7101001,44.411,4.301,RR
7105001,44.773,3.982,RR
